project_name,address,city,zip,latitude,longitude,total_units,affordable_units,family_units_estimate,status,expected_year,source
PETER PAULSON,1530 SW 13TH AVE,Portland,97201,45.5149225820293,-122.688060262926,93.0,92.0,,in_service,1995.0,Metro RLIS Affordable Housing
GATEWAY PARK APARTMENTS,510 NE 100TH AVE,Portland,97220,45.5265286895367,-122.560480568151,144.0,144.0,84.0,in_service,1967.0,Metro RLIS Affordable Housing
HAVEN LIMITED PARTNERSHIP,4625 N TRENTON ST,Portland,97203,45.5888276166689,-122.715031068666,44.0,44.0,15.0,in_service,2007.0,Metro RLIS Affordable Housing
CECELIA LIMITED PARTNERSHIP,4605 N TRENTON ST,Portland,97203,45.5888276166689,-122.715031068666,60.0,60.0,46.0,in_service,2007.0,Metro RLIS Affordable Housing
TROUTON LIMITED PARTNERSHIP,4625 N TRENTON ST,Portland,97203,45.5888276166689,-122.715031068666,113.0,113.0,91.0,in_service,2007.0,Metro RLIS Affordable Housing
WOOLSEY LIMITED PARTNERSHIP,4625 N TRENTON ST,Portland,97203,45.5888276166689,-122.715031068666,56.0,55.0,5.0,in_service,2007.0,Metro RLIS Affordable Housing
2425-2429 SE YAMHILL ST,2425 SE YAMHILL ST,Portland,97214,45.5159244604536,-122.640833810961,2.0,2.0,2.0,in_service,1909.0,Metro RLIS Affordable Housing
1732 N ALBERTA ST,1732 N ALBERTA ST,Portland,97217,45.5588924503495,-122.685637522137,1.0,1.0,,in_service,1896.0,Metro RLIS Affordable Housing
8508 N DRUMMOND AVE,8508 N DRUMMOND AVE,Portland,97217,45.5846962127678,-122.699180615473,1.0,1.0,,in_service,1909.0,Metro RLIS Affordable Housing
4722 N MISSISSIPPI AVE,4722 N MISSISSIPPI AVE,Portland,97217,45.5572896655181,-122.675618257201,1.0,1.0,,in_service,1922.0,Metro RLIS Affordable Housing
4921 NE CLEVELAND AVE,4921 NE CLEVELAND AVE,Portland,97211,45.5586739227597,-122.665940979667,4.0,4.0,4.0,in_service,1941.0,Metro RLIS Affordable Housing
813 N WEBSTER ST,813 N WEBSTER ST,Portland,97217,45.5599359409562,-122.675340914786,1.0,1.0,1.0,in_service,1905.0,Metro RLIS Affordable Housing
